timestamp,dmc,snr,final,hwel_report,hwel_set,btld_report,btld_set,swfl_report,swfl_set,report_file,settings_file
2025-10-26 20:39:12,2D5B8E1E201D22528170008_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_07-50-07\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_07-50-07.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:13,2D5B8E1E201D22528170008_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_07-55-45\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_07-55-45.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:17,2D5B8E1E201D22528170008_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_08-08-07\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_08-08-07.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:21,2D5B8E1E201D22528170008_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_08-10-07\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_08-10-07.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:25,2025-10-09_09-44-26,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_09-44-26\_Processed\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_09-44-26.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:44:45,2D5B8E1E201D22524070003_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-49-09\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-49-09.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:46:44,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:46:44,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:53:12,2D5B8E1E201D22524070003_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-49-09\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-49-09.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:54:12,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 21:03:23,2D5B8E1E201D22524070003_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-49-09\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-49-09.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 21:03:23,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-27 09:15:31,2D5B7FD3701D12524010002_CCS1,5B7FD37,NOK,B0 8C 02 1E 14,B0 8C 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 03,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FD3701D12524010002_CCS1\2025-09-02_16-26-34\2D5B7FD3701D12524010002_CCS1_EOL_2025-09-02_16-26-34.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-27 09:50:07,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-27 10:15:23,2D5B7FD3701D12524010002_CCS1,5B7FD37,NOK,B0 8C 02 1E 14,B0 8C 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 03,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FD3701D12524010002_CCS1\2025-09-02_16-26-34\2D5B7FD3701D12524010002_CCS1_EOL_2025-09-02_16-26-34.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-27 12:09:19,2D5B7FE8201D12529430003_JP_TWIN,5B7FE82,NOK,B0 8D 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 01,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE8201D12529430003_JP_TWIN\2025-10-23_13-25-56\2D5B7FE8201D12529430003_JP_TWIN_EOL_2025-10-23_13-25-56.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-25-07-2025-545_20251023100001.xml
2025-10-27 14:00:25,2D5B7FE8201D12529430003_JP_TWIN,5B7FE82,NOK,B0 8D 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 01,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE8201D12529430003_JP_TWIN\2025-10-23_13-25-56\2D5B7FE8201D12529430003_JP_TWIN_EOL_2025-10-23_13-25-56.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-25-07-2025-545_20251023100001.xml
2025-10-28 09:15:09,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:15:43,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:15:55,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:16:02,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:16:23,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:34:00,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:34:01,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:34:01,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:34:02,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:34:02,2D5B7FE2201D12524520004_CCS2,5B7FE22,NOK,C2 01 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 02,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE2201D12524520004_CCS2\2025-09-02_12-29-23\2D5B7FE2201D12524520004_CCS2_EOL_2025-09-02_12-29-23.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-29-11-2025-505_20251023100003.xml
2025-10-28 09:37:08,2D5B7FD3701D12524010002_CCS1,5B7FD37,NOK,B0 8C 02 1E 14,B0 8C 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 03,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FD3701D12524010002_CCS1\2025-09-02_16-26-34\2D5B7FD3701D12524010002_CCS1_EOL_2025-09-02_16-26-34.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-28 10:06:29,2D5B7FD3701D12524010002_CCS1,5B7FD37,NOK,B0 8C 02 1E 14,B0 8C 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 03,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FD3701D12524010002_CCS1\2025-09-02_16-26-34\2D5B7FD3701D12524010002_CCS1_EOL_2025-09-02_16-26-34.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-28 10:37:29,2D5B7FD3701D12524010002_CCS1,5B7FD37,NOK,B0 8C 02 1E 14,B0 8C 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 03,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FD3701D12524010002_CCS1\2025-09-02_16-26-34\2D5B7FD3701D12524010002_CCS1_EOL_2025-09-02_16-26-34.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-28 11:01:44,2D5B7FE8201D12529430001_JP_TWIN,5B7FE82,NOK,B0 8D 02 1E 14,B0 8B 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 01,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FE8201D12529430001_JP_TWIN\2025-10-23_13-34-54\2D5B7FE8201D12529430001_JP_TWIN_EOL_2025-10-23_13-34-54.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA05-25-07-2025-545_20251023100001.xml
2025-10-28 14:00:25,2D5B7FD3701D12524010002_CCS1,5B7FD37,NOK,B0 8C 02 1E 14,B0 8C 02 1E 14,C1 5B 13 28 02,C1 5B 13 28 03,C1 5F 13 28 03,C1 5F 13 28 03,C:\New folder\soft_comp\MachineReports\Incoming\2D5B7FD3701D12524010002_CCS1\2025-09-02_16-26-34\2D5B7FD3701D12524010002_CCS1_EOL_2025-09-02_16-26-34.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-28 14:07:18,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
